Country,Magnitude,Date,More information
Libya,6.8,19 April 1935,[42]
Macedonia,6.1,26 July 1963,1963 Skopje earthquake
Madagascar,5.6,21 April 1991,[43]
Malawi,6.2,10 March 1989,[44]
Malaysia,6.2,26 July 1976,1976 Sabah earthquake
Mauritius,6.7,26 July 1976,[45]
Mayotte,6.0,29 April 1952,[46]
Mexico,8.6,28 March 1787,1787 Mexico earthquake
Micronesia,7.1,15 November 1929,[47]
Mongolia,8.4,23 July 1905,1905 Bolnai earthquake
Montenegro,6.9,15 April 1979,1979 Montenegro earthquake
Morocco,6.3,24 February 2004,2004 Al Hoceima earthquake
Mozambique,7.0,22 February 2006,2006 Mozambique earthquake
Myanmar,8.0,12 September 1946,[48]
Namibia,5.1,31 July 2009,[49]
Nepal,8.2,6 June 1505,1505 Lo Mustang earthquake
Netherlands,5.3,13 April 1992,1992 Roermond earthquake
New Zealand,8.3,23 January 1855,1855 Wairarapa earthquake
Nicaragua,7.7,2 September 1992,1992 Nicaragua earthquake
North Korea,6.3,19 March 1952,[50]
Northern Mariana Islands,7.7,29 July 2016,[51]
Norway,6.2,21 February 2008,2008 Svalbard earthquake (no)
Pakistan,8.1,28 November 1945,1945 Balochistan earthquake
Palau,7.8,16 August 1911,[52]
Panama,7.5,18 July 1934,[53]
Papua New Guinea,8.0,16 November 2000,2000 New Ireland earthquakes
Paraguay,6.5,28 February 1989,[54]
Peru,8.6,28 October 1746,1746 Lima–Callao earthquake
Philippines,8.3,15 August 1918,1918 Celebes Sea earthquake
Poland,5.8,6 August 1983,near Głogów [55]
Portugal,8.5,1 November 1755,1755 Lisbon earthquake
Puerto Rico,8.0,2 May 1787,1787 Boricua earthquake
Réunion,5.3,6 April 2007,[56]
Romania,7.9,26 October 1802,1802 Vrancea earthquake
Rwanda,5.9,3 February 2008,[57]
Russia,9.0,4 November 1952,1952 Kamchatka earthquake
Samoa,8.5,26 June 1917,1917 Samoa earthquake
Saudi Arabia,6.2,11 January 1941,Jizan Region
Republic of Serbia,5.5,22 September 1998,1998 Mionica earthquake
Slovenia,5.6,12 April 1998,[58]
Solomon Islands,8.1,1 April 2007,2007 Solomon Islands earthquake
Somalia,5.6,3 July 1951,[59]
South Africa,6.3,29 September 1969,
South Georgia and the South Sandwich Islands,8.1,27 June 1929,[60]
South Korea,5.4,12 September 2016,2016 Gyeongju earthquake
South Sudan,7.2,20 May 1990,[61]
Spain,7.8,29 March 1954,[62]
Sweden,4.8,14 July 1986,"Skultorp, Västra Götaland[63]"
Switzerland,6.5,18 October 1356,1356 Basel earthquake
Syria,7.6,20 May 1202,1202 Syria earthquake
Taiwan,7.6,21 September 1999,1999 Jiji earthquake
Tajikistan,7.5,10 July 1949,1949 Khait earthquake
United Republic of Tanzania,7.3,13 December 1910,[64]
Thailand,6.1,5 May 2014,2014 Mae Lao earthquake
Tonga,8.1,30 April 1919,[65]
Trinidad and Tobago,6.7,22 April 1997,[66]
Tunisia,5.5,20 February 1957,[67]
Turkey,7.8,27 December 1939,1939 Erzincan earthquake
Turkmenistan,7.3,5 October 1948,1948 Ashgabat earthquake
Uganda,6.5,30 June 1952,[68]
Ukraine,6.7,11 September 1927,1927 Crimean earthquakes
United Kingdom,6.1,7 June 1931,1931 Dogger Bank earthquake
United States of America,9.2,27 March 1964,1964 Alaska earthquake
Uruguay,5.5,5 June 1888,1888 Rio de la Plata earthquake
Uzbekistan,7.0,19 March 1984,[69]
Vanuatu,8.1,20 September 1920,[70]
Venezuela,7.6,29 October 1900,[71]
Vietnam,6.7,1 June 1935,[72]
Yemen,6.3,13 December 1982,1982 North Yemen earthquake
Zambia,6.7,1 May 1919,[73]
